id,name,score,zip_code,city,state
33664,Below 40 Poke House - Plano,4.7,75093,Plano,TX
13058,Sopranos Antico,4.8,98116,Seattle,WA
31407,Costa Vida  ,4.7,84057,Orem,UT
62169,Thrilled Cheese ,3.8,79762-8157,ODESSA,TX
10456,Mediterranean Gyro Grill ,4.7,98023,Federal Way,WA
2270,Carson's Ribs ,4.5,53203,Milwaukee,WI
29129,Wendy's  ,4.5,20011,Washington,DC
36022,Toma Taco,4.6,78666,San Marcos,TX
19909,Bonchon Chicken ,4.7,22306,Alexandria,VA
36,Moe's Southwest Grill ,4.8,35071,Gardendale,AL
18398,Osteria Marzano,4.7,22310,Alexandria,VA
27786,Papa Johns ,4.6,22303,Alexandria,VA
62562,Sonic ,4.5,78130,New Braunfels,TX
49336,Sonic ,4.1,78230,Vance Jackson,TX
41685,Wendy's  ,4.4,78749,Austin,TX
55818,Reggis Liquor #75 ,4.9,75090,Sherman,TX
28286,Taco Bell ,4.4,22902,Charlottesville,VA
22962,La Estacion Restaurante,5,20176,Leesburg,VA
26886,THE IMPOSSIBLE SHOP™ ,4.1,20814,Bethesda,MD
14327,Poke Express ,4.7,99206,Spokane Valley,WA
28954,Pasta Bar ,4.6,20001,Washington,DC
12138,Starbucks ,4.8,98686,Vancouver,WA
13522,Panda Express ,4.5,98057,Renton,WA
25878,Vision BBQ,4.2,22903,Charlottesville,VA
14037,Coldstone Creamery ,4.6,98271,Marysville,WA
31219,Mo' Bettahs ,4.6,84790,St. George,UT
37008,Snappy Salads ,4.8,76116,Fort Worth,TX
56638,Beth Marie's Old Fashioned Ice Cream Shop,4.7,76201,Denton,TX
39777,Sap's Ver Fine Thai Cuisine ,4.8,78756,Austin,TX
36304,J J's Chicken &amp; Rice&amp;Chinese wok,4.2,75241,Dallas,TX
3570,Wendy's  ,4.4,53225,Milwaukee,WI
49672,7-Eleven ,4.9,78665,Round Rock,TX
19021,Corner Bakery ,4.4,20045,Washington,DC
46607,Vee's Kajun Kitchen,4.6,77373-7739,Spring,TX
37612,Cicis Pizza ,4.6,76110,Fort Worth,TX
39784,Rose's Kitchen,4.4,78748,Austin,TX
33785,1st Donuts,4.6,75041,Garland,TX
22889,Vocelli Pizza ,4.7,20105,Aldie,VA
7918,Kobe Bento Teriyaki,4.7,98133,Shoreline,WA
62559,Whataburger ,4.6,78130,New Braunfels,TX
10738,Bucks Teriyaki &amp; Wok,4.8,98030,Kent,WA
11433,Ambassador Restaurant &amp; Lounge,4.3,97213,Portland,OR
62025,Subway ,3.9,78256,San Antonio,TX
1579,Baskin-Robbins ,4.9,54304,Green Bay,WI
39805,Carabao Express,4.6,78758,Austin,TX
22443,Mezeh ,4.8,22033,Fairfax,VA
35294,Saltgrass ,4.6,78216,San Antonio,TX
46195,ChickingOut,4.3,77389,Spring,TX
